phase,essay_id,true_label,word_count,length_category,model,prompt_name,strategy,variant,prediction,timestamp
1,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:18:50.425373
1,essay_464518922f58cd70,A2,89,short,phi-3-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:19:08.276164
1,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:19:08.923069
1,essay_464518922f58cd70,A2,89,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:19:10.181040
1,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:19:11.500534
1,essay_464518922f58cd70,A2,89,short,phi-3-mini,minimal_v3,minimal,v3,B2,2026-01-14T12:19:12.665262
1,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,rubric_v1,rubric,v1,B1,2026-01-14T12:19:13.854439
1,essay_464518922f58cd70,A2,89,short,phi-3-mini,rubric_v1,rubric,v1,### Soluti,2026-01-14T12:19:16.765097
1,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:19:17.885486
1,essay_464518922f58cd70,A2,89,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:19:19.576747
1,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:19:20.816809
1,essay_464518922f58cd70,A2,89,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:19:22.845928
1,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,cot_v1,cot,v1,A2,2026-01-14T12:19:23.481892
1,essay_464518922f58cd70,A2,89,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:19:24.791067
1,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,cot_v2,cot,v2,B1,2026-01-14T12:19:25.425036
1,essay_464518922f58cd70,A2,89,short,phi-3-mini,cot_v2,cot,v2,B1,2026-01-14T12:19:27.138123
1,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,cot_v3,cot,v3,B1,2026-01-14T12:19:27.781728
1,essay_464518922f58cd70,A2,89,short,phi-3-mini,cot_v3,cot,v3,A2,2026-01-14T12:19:28.928484
1,essay_be645125371cce84,A2,75,short,gpt-4o-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:19:29.420331
1,essay_be645125371cce84,A2,75,short,phi-3-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:19:31.090028
1,essay_be645125371cce84,A2,75,short,gpt-4o-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:19:31.774328
1,essay_be645125371cce84,A2,75,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:19:33.107399
1,essay_be645125371cce84,A2,75,short,gpt-4o-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:19:34.217797
1,essay_be645125371cce84,A2,75,short,phi-3-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:19:35.668807
1,essay_be645125371cce84,A2,75,short,gpt-4o-mini,rubric_v1,rubric,v1,A2,2026-01-14T12:19:36.176566
1,essay_be645125371cce84,A2,75,short,phi-3-mini,rubric_v1,rubric,v1,B1,2026-01-14T12:19:37.681993
1,essay_be645125371cce84,A2,75,short,gpt-4o-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:19:38.227464
1,essay_be645125371cce84,A2,75,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:19:39.862734
1,essay_be645125371cce84,A2,75,short,gpt-4o-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:19:41.089958
1,essay_be645125371cce84,A2,75,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:19:43.209697
1,essay_be645125371cce84,A2,75,short,gpt-4o-mini,cot_v1,cot,v1,A2,2026-01-14T12:19:43.656847
1,essay_be645125371cce84,A2,75,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:19:45.034680
1,essay_be645125371cce84,A2,75,short,gpt-4o-mini,cot_v2,cot,v2,B1,2026-01-14T12:19:45.701897
